Unnamed: 0	ระดับเอกสาร	ชื่อเอกสาร	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	สถานะเอกสาร	หมายเลขเอกสาร	
nan	ฟอร์มเอกสาร	ทะเบียนอะไหล่	nan	nan	nan	nan	nan	Rev.1	F-MA-012
nan	nan	nan	nan	nan	nan	nan	nan	ปรับปรุงวันที่	2024-10-30 00:00:00
ชื่อเครื่อง	รหัสเครื่อง	อะไหล่	รหัสอะไหล่	จำนวนPart	Safety Stock	รายละเอียด	ระบบ	Supplier	หมายเหตุ
เครื่องสับกระดาษ Jumbo	ST-06	ใบมีด	BL12	nan	0	nan	เครื่องกล	เจษฎาเอนจินเนียลิง	nan
เครื่องสับกระดาษ 2	ST-05	ใบมีด	BL12	nan	0	nan	เครื่องกล	เจษฎาเอนจินเนียลิง	nan
เครื่องสับกระดาษ	ST-04	ใบมีด	BL12	nan	0	nan	เครื่องกล	เจษฎาเอนจินเนียลิง	nan
เครื่องสับ/ผ่าAuto	SM-04	ใบมีด	BL08	nan	0	nan	เครื่องกล	NP	nan
เครื่องสับ/ผ่าAuto	SM-04	Lubricator	AI01	nan	0	Airtac lubricator  ร่น BL2000	ลม	NP	nan
เครื่องสับ/ผ่าAuto	SM-04	ชุดกรองลม	AI02	nan	0	Air Source Treatment  GFC2000	ลม	NP	nan
เครื่องสับ/ผ่าAuto	SM-04	โซลินอยด์วาล์ว 	AI03	nan	0	AirTAC solenoid valve 4V210-08	ลม	NP	nan
เครื่องสับ/ผ่าAuto	SM-04	สายลม	AF01	nan	0	เบอร์ 10	ลม	NP	nan
เครื่องสับ/ผ่าAuto	SM-04	สายลม	AF02	nan	0	เบอร์ 6	ลม	NP	nan
เครื่องสับ/ผ่าAuto	SM-04	ข้อต่อ 3 ทาง	AF03	nan	0	เบอร์ 10	ลม	NP	nan
เครื่องสล็อตไส้ 2	ST-02	ใบมีด	BL10	nan	0	nan	เครื่องกล	เจษฎาเอนจินเนียลิง	nan
เครื่องสล็อตไส้ 2	ST-02	โอริง	BE07	nan	0	nan	เครื่องกล	nan	nan
เครื่องสล็อตไส้ 2	ST-02	น๊อต	NU03	nan	0	น๊อต M10x22	เครื่องกล	nan	nan
เครื่องสล็อตไส้ 2	ST-02	น๊อต	NU04	nan	0	น๊อต M8x29	เครื่องกล	nan	nan
เครื่องสล็อตไส้ 2	ST-02	น๊อต	NU05	nan	0	น๊อต M10x40	เครื่องกล	nan	nan
เครื่องสล็อตกล่องคอมพิวเตอร์	ST-03	ใบมีด	BL11	nan	0	nan	เครื่องกล	เจษฎาเอนจินเนียลิง	nan
เครื่องเย็บลวดแขนเดียว	SC-01	nan	nan	nan	0	nan	nan	nan	nan
